,topic_id,member_id,vote
100,20121017-2,Paul TSE,No
101,20121017-2,Alan LEONG,Yes
102,20121017-2,LEUNG Kwok-hung,Absent
103,20121017-2,Albert CHAN,Yes
104,20121017-2,WONG Yuk-man,Yes
105,20121017-2,Claudia MO,Yes
106,20121017-2,Michael TIEN,No
107,20121017-2,James TIEN,No
108,20121017-2,NG Leung-sing,No
109,20121017-2,Steven HO,No
110,20121017-2,Frankie YICK,No
111,20121017-2,WU Chi-wai,Yes
112,20121017-2,YIU Si-wing,No
113,20121017-2,Gary FAN,Yes
114,20121017-2,MA Fung-kwok,No
115,20121017-2,Charles Peter MOK,Yes
116,20121017-2,CHAN Chi-chuen,Yes
117,20121017-2,CHAN Han-pan,No
118,20121017-2,Dr Kenneth CHAN,Yes
119,20121017-2,CHAN Yuen-han,No
120,20121017-2,LEUNG Che-cheung,No
121,20121017-2,Kenneth LEUNG,Yes
122,20121017-2,Alice MAK,No
123,20121017-2,Dr KWOK Ka-ki,Yes
124,20121017-2,KWOK Wai-keung,No
125,20121017-2,Dennis KWOK,Yes
126,20121017-2,Christopher CHEUNG,No
127,20121017-2,Dr Fernando CHEUNG,Yes
128,20121017-2,SIN Chung-kai,Yes
129,20121017-2,Dr Helena WONG,Yes
130,20121017-2,IP Kin-yuen,Yes
131,20121017-2,Dr Elizabeth QUAT,No
132,20121017-2,Martin LIAO,No
133,20121017-2,POON Siu-ping,No
134,20121017-2,TANG Ka-piu,No
135,20121017-2,Dr CHIANG Lai-wan,No
136,20121017-2,Ir Dr LO Wai-kwok,No
137,20121017-2,CHUNG Kwok-pan,No
138,20121017-2,Christopher CHUNG,No
139,20121017-2,Tony TSE,No
140,20121017-3,TSANG Yok-sing,Present
141,20121017-3,Albert HO,Yes
142,20121017-3,LEE Cheuk-yan,Yes
143,20121017-3,James TO,Yes
144,20121017-3,CHAN Kam-lam,No
145,20121017-3,LEUNG Yiu-chung,Yes
146,20121017-3,Dr LAU Wong-fat,No
147,20121017-3,Emily LAU,Yes
148,20121017-3,TAM Yiu-chung,No
149,20121017-3,Abraham SHEK,No
150,20121017-3,Tommy CHEUNG,No
151,20121017-3,Frederick FUNG,Yes
152,20121017-3,Vincent FANG,No
153,20121017-3,WONG Kwok-hing,No
154,20121017-3,Prof Joseph LEE,Yes
155,20121017-3,Jeffrey LAM,No
156,20121017-3,Andrew LEUNG,No
157,20121017-3,WONG Ting-kwong,No
158,20121017-3,Ronny TONG,Yes
159,20121017-3,Cyd HO,Yes
160,20121017-3,Starry LEE,No
161,20121017-3,Dr LAM Tai-fai,No
162,20121017-3,CHAN Hak-kan,No
163,20121017-3,CHAN Kin-por,No
164,20121017-3,Dr Priscilla LEUNG,No
165,20121017-3,Dr LEUNG Ka-lau,Absent
166,20121017-3,CHEUNG Kwok-che,Yes
167,20121017-3,WONG Kwok-kin,No
168,20121017-3,IP Kwok-him,No
169,20121017-3,Mrs Regina IP,No
170,20121017-3,Paul TSE,Abstain
171,20121017-3,Alan LEONG,Yes
172,20121017-3,LEUNG Kwok-hung,Absent
173,20121017-3,Albert CHAN,Yes
174,20121017-3,WONG Yuk-man,Yes
175,20121017-3,Claudia MO,Yes
176,20121017-3,Michael TIEN,No
177,20121017-3,James TIEN,No
178,20121017-3,NG Leung-sing,No
179,20121017-3,Steven HO,No
180,20121017-3,Frankie YICK,No
181,20121017-3,WU Chi-wai,Yes
182,20121017-3,YIU Si-wing,No
183,20121017-3,Gary FAN,Yes
184,20121017-3,MA Fung-kwok,No
185,20121017-3,Charles Peter MOK,Yes
186,20121017-3,CHAN Chi-chuen,Yes
187,20121017-3,CHAN Han-pan,No
188,20121017-3,Dr Kenneth CHAN,Yes
189,20121017-3,CHAN Yuen-han,No
190,20121017-3,LEUNG Che-cheung,No
191,20121017-3,Kenneth LEUNG,Yes
192,20121017-3,Alice MAK,No
193,20121017-3,Dr KWOK Ka-ki,Yes
194,20121017-3,KWOK Wai-keung,No
195,20121017-3,Dennis KWOK,Yes
196,20121017-3,Christopher CHEUNG,No
197,20121017-3,Dr Fernando CHEUNG,Yes
198,20121017-3,SIN Chung-kai,Yes
199,20121017-3,Dr Helena WONG,Yes
200,20121017-3,IP Kin-yuen,Yes
201,20121017-3,Dr Elizabeth QUAT,No
202,20121017-3,Martin LIAO,No
203,20121017-3,POON Siu-ping,No
204,20121017-3,TANG Ka-piu,No
205,20121017-3,Dr CHIANG Lai-wan,No
206,20121017-3,Ir Dr LO Wai-kwok,No
207,20121017-3,CHUNG Kwok-pan,No
208,20121017-3,Christopher CHUNG,No
209,20121017-3,Tony TSE,No
210,20121017-4,TSANG Yok-sing,Present
211,20121017-4,Albert HO,Yes
212,20121017-4,LEE Cheuk-yan,Yes
213,20121017-4,James TO,Yes
214,20121017-4,CHAN Kam-lam,Abstain
215,20121017-4,LEUNG Yiu-chung,Yes
216,20121017-4,Dr LAU Wong-fat,Absent
217,20121017-4,Emily LAU,Yes
218,20121017-4,TAM Yiu-chung,Abstain
219,20121017-4,Abraham SHEK,No
220,20121017-4,Tommy CHEUNG,Absent
221,20121017-4,Frederick FUNG,Yes
222,20121017-4,Vincent FANG,No
223,20121017-4,WONG Kwok-hing,Yes
224,20121017-4,Prof Joseph LEE,Yes
225,20121017-4,Jeffrey LAM,No
226,20121017-4,Andrew LEUNG,No
227,20121017-4,WONG Ting-kwong,Abstain
228,20121017-4,Ronny TONG,Yes
229,20121017-4,Cyd HO,Absent
230,20121017-4,Starry LEE,Absent
231,20121017-4,Dr LAM Tai-fai,No
232,20121017-4,CHAN Hak-kan,Absent
233,20121017-4,CHAN Kin-por,Abstain
234,20121017-4,Dr Priscilla LEUNG,No
235,20121017-4,Dr LEUNG Ka-lau,Yes
236,20121017-4,CHEUNG Kwok-che,Yes
237,20121017-4,WONG Kwok-kin,Yes
238,20121017-4,IP Kwok-him,Abstain
239,20121017-4,Mrs Regina IP,No
240,20121017-4,Paul TSE,No
241,20121017-4,Alan LEONG,Yes
242,20121017-4,LEUNG Kwok-hung,Absent
243,20121017-4,Albert CHAN,Yes
244,20121017-4,WONG Yuk-man,Yes
245,20121017-4,Claudia MO,Absent
246,20121017-4,Michael TIEN,No
247,20121017-4,James TIEN,No
248,20121017-4,NG Leung-sing,Abstain
249,20121017-4,Steven HO,Abstain
250,20121017-4,Frankie YICK,No
251,20121017-4,WU Chi-wai,Yes
252,20121017-4,YIU Si-wing,No
253,20121017-4,Gary FAN,Yes
254,20121017-4,MA Fung-kwok,Abstain
255,20121017-4,Charles Peter MOK,Yes
256,20121017-4,CHAN Chi-chuen,Yes
257,20121017-4,CHAN Han-pan,Abstain
258,20121017-4,Dr Kenneth CHAN,Yes
259,20121017-4,CHAN Yuen-han,Yes
260,20121017-4,LEUNG Che-cheung,Abstain
261,20121017-4,Kenneth LEUNG,Yes
262,20121017-4,Alice MAK,Yes
263,20121017-4,Dr KWOK Ka-ki,Yes
264,20121017-4,KWOK Wai-keung,Yes
265,20121017-4,Dennis KWOK,Yes
266,20121017-4,Christopher CHEUNG,No
267,20121017-4,Dr Fernando CHEUNG,Yes
268,20121017-4,SIN Chung-kai,Yes
269,20121017-4,Dr Helena WONG,Yes
270,20121017-4,IP Kin-yuen,Yes
271,20121017-4,Dr Elizabeth QUAT,Abstain
272,20121017-4,Martin LIAO,No
273,20121017-4,POON Siu-ping,Yes
274,20121017-4,TANG Ka-piu,Yes
275,20121017-4,Dr CHIANG Lai-wan,Abstain
276,20121017-4,Ir Dr LO Wai-kwok,No
277,20121017-4,CHUNG Kwok-pan,No
278,20121017-4,Christopher CHUNG,Abstain
279,20121017-4,Tony TSE,No
280,20121017-5,TSANG Yok-sing,Present
281,20121017-5,Albert HO,Yes
282,20121017-5,LEE Cheuk-yan,Yes
283,20121017-5,James TO,Yes
284,20121017-5,CHAN Kam-lam,Abstain
285,20121017-5,LEUNG Yiu-chung,Yes
286,20121017-5,Dr LAU Wong-fat,Absent
287,20121017-5,Emily LAU,Yes
288,20121017-5,TAM Yiu-chung,Abstain
289,20121017-5,Abraham SHEK,No
290,20121017-5,Tommy CHEUNG,Absent
291,20121017-5,Frederick FUNG,Yes
292,20121017-5,Vincent FANG,No
293,20121017-5,WONG Kwok-hing,Yes
294,20121017-5,Prof Joseph LEE,Yes
295,20121017-5,Jeffrey LAM,No
296,20121017-5,Andrew LEUNG,No
297,20121017-5,WONG Ting-kwong,Abstain
298,20121017-5,Ronny TONG,Yes
299,20121017-5,Cyd HO,Absent
300,20121017-5,Starry LEE,Absent
301,20121017-5,Dr LAM Tai-fai,No
302,20121017-5,CHAN Hak-kan,Absent
303,20121017-5,CHAN Kin-por,Yes
304,20121017-5,Dr Priscilla LEUNG,Abstain
305,20121017-5,Dr LEUNG Ka-lau,Yes
306,20121017-5,CHEUNG Kwok-che,Yes
307,20121017-5,WONG Kwok-kin,Yes
308,20121017-5,IP Kwok-him,Abstain
309,20121017-5,Mrs Regina IP,No
310,20121017-5,Paul TSE,No
311,20121017-5,Alan LEONG,Yes
312,20121017-5,LEUNG Kwok-hung,Absent
313,20121017-5,Albert CHAN,Yes
314,20121017-5,WONG Yuk-man,Yes
315,20121017-5,Claudia MO,Absent
316,20121017-5,Michael TIEN,No
317,20121017-5,James TIEN,No
318,20121017-5,NG Leung-sing,Abstain
319,20121017-5,Steven HO,Abstain
320,20121017-5,Frankie YICK,No
321,20121017-5,WU Chi-wai,Yes
322,20121017-5,YIU Si-wing,No
323,20121017-5,Gary FAN,Yes
324,20121017-5,MA Fung-kwok,Abstain
325,20121017-5,Charles Peter MOK,Yes
326,20121017-5,CHAN Chi-chuen,Yes
327,20121017-5,CHAN Han-pan,Abstain
328,20121017-5,Dr Kenneth CHAN,Yes
329,20121017-5,CHAN Yuen-han,Yes
330,20121017-5,LEUNG Che-cheung,Abstain
331,20121017-5,Kenneth LEUNG,Yes
332,20121017-5,Alice MAK,Yes
333,20121017-5,Dr KWOK Ka-ki,Yes
334,20121017-5,KWOK Wai-keung,Yes
335,20121017-5,Dennis KWOK,Yes
336,20121017-5,Christopher CHEUNG,No
337,20121017-5,Dr Fernando CHEUNG,Yes
338,20121017-5,SIN Chung-kai,Yes
339,20121017-5,Dr Helena WONG,Yes
340,20121017-5,IP Kin-yuen,Yes
341,20121017-5,Dr Elizabeth QUAT,Abstain
342,20121017-5,Martin LIAO,No
343,20121017-5,POON Siu-ping,Yes
344,20121017-5,TANG Ka-piu,Yes
345,20121017-5,Dr CHIANG Lai-wan,Abstain
346,20121017-5,Ir Dr LO Wai-kwok,No
347,20121017-5,CHUNG Kwok-pan,No
348,20121017-5,Christopher CHUNG,Abstain
349,20121017-5,Tony TSE,Abstain
350,20121017-6,TSANG Yok-sing,Present
351,20121017-6,Albert HO,Yes
352,20121017-6,LEE Cheuk-yan,Yes
353,20121017-6,James TO,Yes
354,20121017-6,CHAN Kam-lam,Abstain
355,20121017-6,LEUNG Yiu-chung,Yes
356,20121017-6,Dr LAU Wong-fat,Absent
357,20121017-6,Emily LAU,Yes
358,20121017-6,TAM Yiu-chung,Abstain
359,20121017-6,Abraham SHEK,No
360,20121017-6,Tommy CHEUNG,Absent
361,20121017-6,Frederick FUNG,Yes
362,20121017-6,Vincent FANG,No
363,20121017-6,WONG Kwok-hing,Abstain
364,20121017-6,Prof Joseph LEE,Yes
365,20121017-6,Jeffrey LAM,No
366,20121017-6,Andrew LEUNG,No
367,20121017-6,WONG Ting-kwong,Abstain
368,20121017-6,Ronny TONG,Yes
369,20121017-6,Cyd HO,Yes
370,20121017-6,Starry LEE,Absent
371,20121017-6,Dr LAM Tai-fai,No
372,20121017-6,CHAN Hak-kan,Absent
373,20121017-6,CHAN Kin-por,Abstain
374,20121017-6,Dr Priscilla LEUNG,No
375,20121017-6,Dr LEUNG Ka-lau,Yes
376,20121017-6,CHEUNG Kwok-che,Yes
377,20121017-6,WONG Kwok-kin,Abstain
378,20121017-6,IP Kwok-him,Abstain
379,20121017-6,Mrs Regina IP,No
380,20121017-6,Paul TSE,No
381,20121017-6,Alan LEONG,Yes
382,20121017-6,LEUNG Kwok-hung,Absent
383,20121017-6,Albert CHAN,Abstain
384,20121017-6,WONG Yuk-man,Abstain
385,20121017-6,Claudia MO,Absent
386,20121017-6,Michael TIEN,No
387,20121017-6,James TIEN,No
388,20121017-6,NG Leung-sing,Abstain
389,20121017-6,Steven HO,Abstain
390,20121017-6,Frankie YICK,No
391,20121017-6,WU Chi-wai,Yes
392,20121017-6,YIU Si-wing,No
393,20121017-6,Gary FAN,Yes
394,20121017-6,MA Fung-kwok,Abstain
395,20121017-6,Charles Peter MOK,Yes
396,20121017-6,CHAN Chi-chuen,Abstain
397,20121017-6,CHAN Han-pan,Abstain
398,20121017-6,Dr Kenneth CHAN,Yes
399,20121017-6,CHAN Yuen-han,Abstain
400,20121017-6,LEUNG Che-cheung,Abstain
401,20121017-6,Kenneth LEUNG,Yes
402,20121017-6,Alice MAK,Abstain
403,20121017-6,Dr KWOK Ka-ki,Yes
404,20121017-6,KWOK Wai-keung,Abstain
405,20121017-6,Dennis KWOK,Yes
406,20121017-6,Christopher CHEUNG,No
407,20121017-6,Dr Fernando CHEUNG,Yes
408,20121017-6,SIN Chung-kai,Yes
409,20121017-6,Dr Helena WONG,Yes
410,20121017-6,IP Kin-yuen,Yes
411,20121017-6,Dr Elizabeth QUAT,Abstain
412,20121017-6,Martin LIAO,No
413,20121017-6,POON Siu-ping,Yes
414,20121017-6,TANG Ka-piu,Abstain
415,20121017-6,Dr CHIANG Lai-wan,Abstain
416,20121017-6,Ir Dr LO Wai-kwok,No
417,20121017-6,CHUNG Kwok-pan,No
418,20121017-6,Christopher CHUNG,Abstain
419,20121017-6,Tony TSE,No
420,20121017-7,TSANG Yok-sing,Present
421,20121017-7,Albert HO,No
422,20121017-7,LEE Cheuk-yan,No
423,20121017-7,James TO,No
424,20121017-7,CHAN Kam-lam,Yes
425,20121017-7,LEUNG Yiu-chung,No
426,20121017-7,Dr LAU Wong-fat,Absent
427,20121017-7,Emily LAU,No
428,20121017-7,TAM Yiu-chung,Yes
429,20121017-7,Abraham SHEK,No
430,20121017-7,Tommy CHEUNG,Absent
431,20121017-7,Frederick FUNG,No
432,20121017-7,Vincent FANG,No
433,20121017-7,WONG Kwok-hing,No
434,20121017-7,Prof Joseph LEE,Yes
435,20121017-7,Jeffrey LAM,No
436,20121017-7,Andrew LEUNG,No
437,20121017-7,WONG Ting-kwong,Yes
438,20121017-7,Ronny TONG,No
439,20121017-7,Cyd HO,No
440,20121017-7,Starry LEE,Absent
441,20121017-7,Dr LAM Tai-fai,No
442,20121017-7,CHAN Hak-kan,Absent
443,20121017-7,CHAN Kin-por,Yes
444,20121017-7,Dr Priscilla LEUNG,Abstain
445,20121017-7,Dr LEUNG Ka-lau,Yes
446,20121017-7,CHEUNG Kwok-che,No
447,20121017-7,WONG Kwok-kin,No
448,20121017-7,IP Kwok-him,Yes
449,20121017-7,Mrs Regina IP,No
450,20121017-7,Paul TSE,No
451,20121017-7,Alan LEONG,No
452,20121017-7,LEUNG Kwok-hung,Absent
453,20121017-7,Albert CHAN,No
454,20121017-7,WONG Yuk-man,Yes
455,20121017-7,Claudia MO,Absent
456,20121017-7,Michael TIEN,No
457,20121017-7,James TIEN,No
458,20121017-7,NG Leung-sing,Abstain
459,20121017-7,Steven HO,Yes
460,20121017-7,Frankie YICK,No
461,20121017-7,WU Chi-wai,No
462,20121017-7,YIU Si-wing,No
463,20121017-7,Gary FAN,No
464,20121017-7,MA Fung-kwok,Abstain
465,20121017-7,Charles Peter MOK,Abstain
466,20121017-7,CHAN Chi-chuen,No
467,20121017-7,CHAN Han-pan,Yes
468,20121017-7,Dr Kenneth CHAN,No
469,20121017-7,CHAN Yuen-han,No
470,20121017-7,LEUNG Che-cheung,Yes
471,20121017-7,Kenneth LEUNG,Abstain
472,20121017-7,Alice MAK,No
473,20121017-7,Dr KWOK Ka-ki,No
474,20121017-7,KWOK Wai-keung,No
475,20121017-7,Dennis KWOK,No
476,20121017-7,Christopher CHEUNG,No
477,20121017-7,Dr Fernando CHEUNG,No
478,20121017-7,SIN Chung-kai,No
479,20121017-7,Dr Helena WONG,No
480,20121017-7,IP Kin-yuen,No
481,20121017-7,Dr Elizabeth QUAT,Yes
482,20121017-7,Martin LIAO,No
483,20121017-7,POON Siu-ping,No
484,20121017-7,TANG Ka-piu,No
485,20121017-7,Dr CHIANG Lai-wan,Yes
486,20121017-7,Ir Dr LO Wai-kwok,No
487,20121017-7,CHUNG Kwok-pan,No
488,20121017-7,Christopher CHUNG,Yes
489,20121017-7,Tony TSE,Yes
490,20121017-8,TSANG Yok-sing,Present
491,20121017-8,Albert HO,No
492,20121017-8,LEE Cheuk-yan,No
493,20121017-8,James TO,No
494,20121017-8,CHAN Kam-lam,Yes
495,20121017-8,LEUNG Yiu-chung,No
496,20121017-8,Dr LAU Wong-fat,Absent
497,20121017-8,Emily LAU,No
498,20121017-8,TAM Yiu-chung,Yes
499,20121017-8,Abraham SHEK,No
500,20121017-8,Tommy CHEUNG,Absent
501,20121017-8,Frederick FUNG,No
502,20121017-8,Vincent FANG,No
503,20121017-8,WONG Kwok-hing,No
504,20121017-8,Prof Joseph LEE,Yes
505,20121017-8,Jeffrey LAM,No
506,20121017-8,Andrew LEUNG,No
507,20121017-8,WONG Ting-kwong,Yes
508,20121017-8,Ronny TONG,No
509,20121017-8,Cyd HO,No
510,20121017-8,Starry LEE,Absent
511,20121017-8,Dr LAM Tai-fai,No
512,20121017-8,CHAN Hak-kan,Absent
513,20121017-8,CHAN Kin-por,Yes
514,20121017-8,Dr Priscilla LEUNG,Abstain
515,20121017-8,Dr LEUNG Ka-lau,Yes
516,20121017-8,CHEUNG Kwok-che,No
517,20121017-8,WONG Kwok-kin,No
518,20121017-8,IP Kwok-him,Yes
519,20121017-8,Mrs Regina IP,Yes
520,20121017-8,Paul TSE,No
521,20121017-8,Alan LEONG,No
522,20121017-8,LEUNG Kwok-hung,Absent
523,20121017-8,Albert CHAN,No
524,20121017-8,WONG Yuk-man,No
525,20121017-8,Claudia MO,Absent
526,20121017-8,Michael TIEN,Yes
527,20121017-8,James TIEN,No
528,20121017-8,NG Leung-sing,Abstain
529,20121017-8,Steven HO,Yes
530,20121017-8,Frankie YICK,No
531,20121017-8,WU Chi-wai,No
532,20121017-8,YIU Si-wing,No
533,20121017-8,Gary FAN,No
534,20121017-8,MA Fung-kwok,Yes
535,20121017-8,Charles Peter MOK,Abstain
536,20121017-8,CHAN Chi-chuen,No
537,20121017-8,CHAN Han-pan,Yes
538,20121017-8,Dr Kenneth CHAN,No
539,20121017-8,CHAN Yuen-han,No
540,20121017-8,LEUNG Che-cheung,Yes
541,20121017-8,Kenneth LEUNG,Abstain
542,20121017-8,Alice MAK,No
543,20121017-8,Dr KWOK Ka-ki,No
544,20121017-8,KWOK Wai-keung,No
545,20121017-8,Dennis KWOK,No
546,20121017-8,Christopher CHEUNG,No
547,20121017-8,Dr Fernando CHEUNG,No
548,20121017-8,SIN Chung-kai,No
549,20121017-8,Dr Helena WONG,No
550,20121017-8,IP Kin-yuen,No
551,20121017-8,Dr Elizabeth QUAT,Yes
552,20121017-8,Martin LIAO,Abstain
553,20121017-8,POON Siu-ping,No
554,20121017-8,TANG Ka-piu,No
555,20121017-8,Dr CHIANG Lai-wan,Yes
556,20121017-8,Ir Dr LO Wai-kwok,No
557,20121017-8,CHUNG Kwok-pan,No
558,20121017-8,Christopher CHUNG,Yes
559,20121017-8,Tony TSE,Yes
560,20121017-9,TSANG Yok-sing,Present
561,20121017-9,Albert HO,No
562,20121017-9,LEE Cheuk-yan,No
563,20121017-9,James TO,No
564,20121017-9,CHAN Kam-lam,Abstain
565,20121017-9,LEUNG Yiu-chung,No
566,20121017-9,Dr LAU Wong-fat,Absent
567,20121017-9,Emily LAU,No
568,20121017-9,TAM Yiu-chung,Abstain
569,20121017-9,Abraham SHEK,No
570,20121017-9,Tommy CHEUNG,Absent
571,20121017-9,Frederick FUNG,No
572,20121017-9,Vincent FANG,No
573,20121017-9,WONG Kwok-hing,Abstain
574,20121017-9,Prof Joseph LEE,Yes
575,20121017-9,Jeffrey LAM,No
576,20121017-9,Andrew LEUNG,No
577,20121017-9,WONG Ting-kwong,Abstain
578,20121017-9,Ronny TONG,No
579,20121017-9,Cyd HO,No
580,20121017-9,Starry LEE,Absent
581,20121017-9,Dr LAM Tai-fai,No
582,20121017-9,CHAN Hak-kan,Absent
583,20121017-9,CHAN Kin-por,Yes
584,20121017-9,Dr Priscilla LEUNG,No
585,20121017-9,Dr LEUNG Ka-lau,Yes
586,20121017-9,CHEUNG Kwok-che,No
587,20121017-9,WONG Kwok-kin,Abstain
588,20121017-9,IP Kwok-him,Abstain
589,20121017-9,Mrs Regina IP,Abstain
590,20121017-9,Paul TSE,No
591,20121017-9,Alan LEONG,No
592,20121017-9,LEUNG Kwok-hung,Absent
593,20121017-9,Albert CHAN,No
594,20121017-9,WONG Yuk-man,No
595,20121017-9,Claudia MO,Absent
596,20121017-9,Michael TIEN,Abstain
597,20121017-9,James TIEN,No
598,20121017-9,NG Leung-sing,Abstain
599,20121017-9,Steven HO,Abstain
600,20121017-9,Frankie YICK,No
601,20121017-9,WU Chi-wai,No
602,20121017-9,YIU Si-wing,No
603,20121017-9,Gary FAN,No
604,20121017-9,MA Fung-kwok,Abstain
605,20121017-9,Charles Peter MOK,Yes
606,20121017-9,CHAN Chi-chuen,No
607,20121017-9,CHAN Han-pan,Abstain
608,20121017-9,Dr Kenneth CHAN,No
609,20121017-9,CHAN Yuen-han,Abstain
610,20121017-9,LEUNG Che-cheung,No
611,20121017-9,Kenneth LEUNG,Yes
612,20121017-9,Alice MAK,Abstain
613,20121017-9,Dr KWOK Ka-ki,No
614,20121017-9,KWOK Wai-keung,Abstain
615,20121017-9,Dennis KWOK,No
616,20121017-9,Christopher CHEUNG,No
617,20121017-9,Dr Fernando CHEUNG,No
618,20121017-9,SIN Chung-kai,No
619,20121017-9,Dr Helena WONG,No
620,20121017-9,IP Kin-yuen,No
621,20121017-9,Dr Elizabeth QUAT,Abstain
622,20121017-9,Martin LIAO,No
623,20121017-9,POON Siu-ping,Yes
624,20121017-9,TANG Ka-piu,Abstain
625,20121017-9,Dr CHIANG Lai-wan,Abstain
626,20121017-9,Ir Dr LO Wai-kwok,No
627,20121017-9,CHUNG Kwok-pan,No
628,20121017-9,Christopher CHUNG,Abstain
629,20121017-9,Tony TSE,Abstain
630,20121017-10,TSANG Yok-sing,Present
631,20121017-10,Albert HO,Yes
632,20121017-10,LEE Cheuk-yan,Yes
633,20121017-10,James TO,Yes
634,20121017-10,CHAN Kam-lam,Abstain
635,20121017-10,LEUNG Yiu-chung,Yes
636,20121017-10,Dr LAU Wong-fat,Absent
637,20121017-10,Emily LAU,Yes
638,20121017-10,TAM Yiu-chung,Abstain
639,20121017-10,Abraham SHEK,No
640,20121017-10,Tommy CHEUNG,Absent
641,20121017-10,Frederick FUNG,Yes
642,20121017-10,Vincent FANG,No
643,20121017-10,WONG Kwok-hing,Yes
644,20121017-10,Prof Joseph LEE,Yes
645,20121017-10,Jeffrey LAM,No
646,20121017-10,Andrew LEUNG,No
647,20121017-10,WONG Ting-kwong,Abstain
648,20121017-10,Ronny TONG,Yes
649,20121017-10,Cyd HO,Yes
650,20121017-10,Starry LEE,Absent
651,20121017-10,Dr LAM Tai-fai,No
652,20121017-10,CHAN Hak-kan,Absent
653,20121017-10,CHAN Kin-por,Abstain
654,20121017-10,Dr Priscilla LEUNG,Abstain
